Accuracy;Loss
0.5125;1.2855
0.705;0.836
0.7366;0.7345
0.7563;0.6649
0.7774;0.594
0.8071;0.5167
0.8357;0.4477
0.8602;0.3881
0.8813;0.3367
0.8993;0.2927
0.9142;0.2551
0.9259;0.2251
0.936;0.1989
0.9435;0.1777
0.9489;0.1612
0.9537;0.1469
0.9571;0.1355
0.9614;0.1241
0.9631;0.1171
0.9652;0.1101
0.968;0.1025
0.9705;0.0958
0.9723;0.0903
0.9726;0.088
0.9755;0.0812
0.9762;0.0781
0.978;0.0738
0.9785;0.0712
0.9788;0.0692
0.9797;0.0666
0.9814;0.063
0.9822;0.0605
0.9828;0.0584
0.9826;0.0578
0.9846;0.0539
0.9851;0.052
0.9859;0.0498
0.9861;0.0485
0.987;0.0464
0.9867;0.0458
0.987;0.0451
0.9882;0.0422
0.9885;0.0411
0.9891;0.0396
0.9896;0.038
0.9901;0.0366
0.99;0.0363
0.9895;0.0369
0.9904;0.0347
0.9911;0.0329
