Accuracy;Loss
0.4906;1.3448
0.6898;0.8815
0.7317;0.7707
0.7449;0.7281
0.7532;0.6959
0.7637;0.6519
0.7779;0.5957
0.7972;0.5373
0.8152;0.4875
0.8324;0.4428
0.8482;0.4042
0.8614;0.3695
0.8738;0.3399
0.8857;0.3113
0.896;0.2853
0.905;0.2636
0.9144;0.2416
0.9215;0.223
0.9285;0.2055
0.9336;0.1919
0.9384;0.1783
0.9437;0.1658
0.9471;0.1564
0.9502;0.1473
0.9543;0.1371
0.9562;0.1312
0.9592;0.1235
0.9614;0.1174
0.9644;0.1104
0.9659;0.1057
0.968;0.1003
0.9699;0.0953
0.971;0.0922
0.9728;0.0874
0.9738;0.0844
0.9753;0.0803
0.9768;0.0771
0.9768;0.0757
0.979;0.071
0.9801;0.0684
0.9801;0.0669
0.9816;0.0637
0.9827;0.0611
0.9828;0.0595
0.9829;0.0587
0.9839;0.0564
0.9841;0.0552
0.9854;0.0523
0.986;0.0511
0.9863;0.0503
